source,target,relation,source_name,target_name,description
hd_map_industry,intelligent_driving_industry,supply_to,高精度地图,智能驾驶,
vehicle_sensor_industry,intelligent_driving_industry,supply_to,车载传感器,智能驾驶,
vehicle_information_terminal_industry,intelligent_driving_industry,supply_to,车载信息终端设备,智能驾驶,
v2x_industry,intelligent_driving_industry,supply_to,V2X,智能驾驶,
tbox_industry,intelligent_driving_industry,supply_to,T-Box,智能驾驶,
vehicle_communication_module_industry,intelligent_driving_industry,supply_to,车载通信模组,智能驾驶,
vehicle_communication_chip_industry,intelligent_driving_industry,supply_to,车载通信芯片,智能驾驶,
industry_large_model_industry,intelligent_driving_industry,supply_to,行业大模型,智能驾驶,
operating_system_industry,intelligent_driving_industry,supply_to,操作系统软件,智能驾驶,
autonomous_driving_chip_industry,intelligent_driving_industry,supply_to,自动驾驶芯片,智能驾驶,
domain_controller_industry,intelligent_driving_industry,supply_to,域控制器,智能驾驶,
intelligent_chassis_industry,intelligent_driving_industry,supply_to,智能底盘,智能驾驶,
adas_software_industry,intelligent_driving_industry,supply_to,ADAS与自动驾驶软件,智能驾驶,
brake_by_wire_industry,intelligent_chassis_industry,is_a,线控制动,智能底盘,
air_suspension_industry,intelligent_chassis_industry,is_a,空气悬架,智能底盘,
steer_by_wire_industry,intelligent_chassis_industry,is_a,线控转向,智能底盘,
intelligent_driving_industry,autonomous_vehicle_manufacturing_industry,supply_to,智能驾驶,自动驾驶整车制造,
autonomous_vehicle_manufacturing_industry,ai_application_industry,supply_to,自动驾驶整车制造,人工智能应用,
robot_reducer_industry,humanoid_robot_industry,supply_to,机器人减速器,人形机器人,
robot_encoder_industry,humanoid_robot_industry,supply_to,机器人编码器,人形机器人,
robot_bearing_industry,humanoid_robot_industry,supply_to,机器人轴承,人形机器人,
servo_motor_industry,humanoid_robot_industry,supply_to,伺服电机,人形机器人,
robot_sensor_industry,humanoid_robot_industry,supply_to,机器人传感器,人形机器人,
machine_vision_industry,humanoid_robot_industry,supply_to,机器视觉,人形机器人,
robot_memory_industry,humanoid_robot_industry,supply_to,机器人存储器,人形机器人,
robot_ai_chip_industry,humanoid_robot_industry,supply_to,机器人AI芯片,人形机器人,
robot_operating_system_industry,humanoid_robot_industry,supply_to,机器人操作系统软件,人形机器人,
edge_large_model_industry,humanoid_robot_industry,supply_to,端侧大模型,人形机器人,
medical_ai_industry,ai_application_industry,is_a,医疗AI,人工智能应用,
financial_ai_industry,ai_application_industry,is_a,金融AI,人工智能应用,
entertainment_ai_industry,ai_application_industry,is_a,文娱AI,人工智能应用,
education_ai_industry,ai_application_industry,is_a,教育AI,人工智能应用,
enterprise_service_ai_industry,ai_application_industry,is_a,企业服务AI软件,人工智能应用,
advanced_manufacturing_ai_industry,ai_application_industry,is_a,先进制造AI,人工智能应用,
electronics_ai_industry,ai_application_industry,is_a,电子AI,人工智能应用,
high_tech_ai_industry,ai_application_industry,is_a,高科技AI,人工智能应用,
chemical_ai_industry,ai_application_industry,is_a,化工AI,人工智能应用,
basic_materials_ai_industry,ai_application_industry,is_a,基础材料AI,人工智能应用,
construction_ai_industry,ai_application_industry,is_a,建筑AI,人工智能应用,
product_rd_ai_industry,ai_application_industry,is_a,AI产品研发,人工智能应用,
software_engineering_ai_industry,ai_application_industry,is_a,AI软件工程,人工智能应用,
supply_chain_ai_industry,ai_application_industry,is_a,AI供应链管理软件,人工智能应用,
talent_organization_ai_industry,ai_application_industry,is_a,AI人力资源软件,人工智能应用,
marketing_sales_ai_industry,ai_application_industry,is_a,AI营销与销售,人工智能应用,
risk_management_ai_industry,ai_application_industry,is_a,AI风险管理软件,人工智能应用,
intelligent_decision_ai_industry,ai_application_industry,is_a,AI决策智能软件,人工智能应用,
language_large_model_industry,ai_application_industry,supply_to,语言大模型,人工智能应用,
vision_large_model_industry,ai_application_industry,supply_to,视觉大模型,人工智能应用,
general_large_model_industry,ai_application_industry,supply_to,通用大模型,人工智能应用,
industry_large_model_industry,ai_application_industry,supply_to,行业大模型,人工智能应用,
vertical_large_model_industry,ai_application_industry,supply_to,垂直大模型,人工智能应用,
ai_phone_industry,ai_application_industry,supply_to,AI手机,人工智能应用,
aipc_industry,ai_application_industry,supply_to,AIPC,人工智能应用,
intelligent_driving_industry,ai_application_industry,supply_to,智能驾驶,人工智能应用,
humanoid_robot_industry,ai_application_industry,supply_to,人形机器人,人工智能应用,
large_model_industry,medical_ai_industry,supply_to,大模型,医疗AI,大模型能力赋能行业应用。
large_model_industry,financial_ai_industry,supply_to,大模型,金融AI,大模型能力赋能行业应用。
large_model_industry,entertainment_ai_industry,supply_to,大模型,文娱AI,大模型能力赋能行业应用。
large_model_industry,education_ai_industry,supply_to,大模型,教育AI,大模型能力赋能行业应用。
large_model_industry,enterprise_service_ai_industry,supply_to,大模型,企业服务AI软件,大模型能力赋能行业应用。
large_model_industry,advanced_manufacturing_ai_industry,supply_to,大模型,先进制造AI,大模型能力赋能行业应用。
large_model_industry,electronics_ai_industry,supply_to,大模型,电子AI,大模型能力赋能行业应用。
large_model_industry,high_tech_ai_industry,supply_to,大模型,高科技AI,大模型能力赋能行业应用。
large_model_industry,chemical_ai_industry,supply_to,大模型,化工AI,大模型能力赋能行业应用。
large_model_industry,basic_materials_ai_industry,supply_to,大模型,基础材料AI,大模型能力赋能行业应用。
large_model_industry,construction_ai_industry,supply_to,大模型,建筑AI,大模型能力赋能行业应用。
large_model_industry,product_rd_ai_industry,supply_to,大模型,AI产品研发,大模型能力赋能行业应用。
large_model_industry,software_engineering_ai_industry,supply_to,大模型,AI软件工程,大模型能力赋能行业应用。
large_model_industry,supply_chain_ai_industry,supply_to,大模型,AI供应链管理软件,大模型能力赋能行业应用。
large_model_industry,talent_organization_ai_industry,supply_to,大模型,AI人力资源软件,大模型能力赋能行业应用。
large_model_industry,marketing_sales_ai_industry,supply_to,大模型,AI营销与销售,大模型能力赋能行业应用。
large_model_industry,risk_management_ai_industry,supply_to,大模型,AI风险管理软件,大模型能力赋能行业应用。
large_model_industry,intelligent_decision_ai_industry,supply_to,大模型,AI决策智能软件,大模型能力赋能行业应用。
industry_large_model_industry,advanced_manufacturing_ai_industry,supply_to,行业大模型,先进制造AI,
industry_large_model_industry,electronics_ai_industry,supply_to,行业大模型,电子AI,
industry_large_model_industry,high_tech_ai_industry,supply_to,行业大模型,高科技AI,
industry_large_model_industry,product_rd_ai_industry,supply_to,行业大模型,AI产品研发,
industry_large_model_industry,software_engineering_ai_industry,supply_to,行业大模型,AI软件工程,
industry_large_model_industry,intelligent_decision_ai_industry,supply_to,行业大模型,AI决策智能软件,
vertical_large_model_industry,medical_ai_industry,supply_to,垂直大模型,医疗AI,
vertical_large_model_industry,financial_ai_industry,supply_to,垂直大模型,金融AI,
vertical_large_model_industry,education_ai_industry,supply_to,垂直大模型,教育AI,
vertical_large_model_industry,enterprise_service_ai_industry,supply_to,垂直大模型,企业服务AI软件,
cvd_equipment_industry,thin_film_deposition_equipment_industry,is_a,CVD设备,薄膜沉积设备,
pvd_equipment_industry,thin_film_deposition_equipment_industry,is_a,PVD设备,薄膜沉积设备,
semiconductor_chemical_industry,semiconductor_material_industry,is_a,半导体化学品,半导体材料,
photo_mask_industry,semiconductor_material_industry,is_a,掩膜版,半导体材料,
lithography_equipment_industry,wafer_foundry_industry,supply_to,光刻机,晶圆代工,设备与材料供给晶圆制造/代工环节。
etch_equipment_industry,wafer_foundry_industry,supply_to,刻蚀设备,晶圆代工,设备与材料供给晶圆制造/代工环节。
cvd_equipment_industry,wafer_foundry_industry,supply_to,CVD设备,晶圆代工,设备与材料供给晶圆制造/代工环节。
pvd_equipment_industry,wafer_foundry_industry,supply_to,PVD设备,晶圆代工,设备与材料供给晶圆制造/代工环节。
semiconductor_inspection_equipment_industry,wafer_foundry_industry,supply_to,半导体检测设备,晶圆代工,设备与材料供给晶圆制造/代工环节。
semiconductor_metrology_equipment_industry,wafer_foundry_industry,supply_to,半导体量测设备,晶圆代工,设备与材料供给晶圆制造/代工环节。
silicon_wafer_material_industry,wafer_foundry_industry,supply_to,硅片,晶圆代工,设备与材料供给晶圆制造/代工环节。
semiconductor_chemical_industry,wafer_foundry_industry,supply_to,半导体化学品,晶圆代工,设备与材料供给晶圆制造/代工环节。
photo_mask_industry,wafer_foundry_industry,supply_to,掩膜版,晶圆代工,设备与材料供给晶圆制造/代工环节。
ai_accelerator_chip_industry,compute_chip_industry,is_a,AI加速芯片,算力芯片,
self_developed_asic_industry,asic_chip_industry,is_a,自研ASIC芯片,ASIC芯片,
edge_ai_chip_industry,ai_accelerator_chip_industry,is_a,边缘AI芯片,AI加速芯片,
ai_chip_startup_design_industry,chip_design_industry,is_a,AI芯片初创设计,芯片设计,
training_chip_industry,ai_accelerator_chip_industry,is_a,AI训练芯片,AI加速芯片,
inference_chip_industry,ai_accelerator_chip_industry,is_a,AI推理芯片,AI加速芯片,
npu_industry,ai_accelerator_chip_industry,is_a,NPU,AI加速芯片,
ai_accelerator_chip_industry,ai_server_industry,supply_to,AI加速芯片,AI服务器,AI芯片供给AI服务器和加速系统。
self_developed_asic_industry,ai_server_industry,supply_to,自研ASIC芯片,AI服务器,AI芯片供给AI服务器和加速系统。
training_chip_industry,ai_server_industry,supply_to,AI训练芯片,AI服务器,AI芯片供给AI服务器和加速系统。
inference_chip_industry,ai_server_industry,supply_to,AI推理芯片,AI服务器,AI芯片供给AI服务器和加速系统。
edge_ai_chip_industry,ai_server_industry,supply_to,边缘AI芯片,AI服务器,AI芯片供给AI服务器和加速系统。
edge_ai_chip_industry,ai_terminal_industry,supply_to,边缘AI芯片,人工智能终端,端侧/边缘侧芯片供给AI终端。
inference_chip_industry,ai_terminal_industry,supply_to,AI推理芯片,人工智能终端,端侧/边缘侧芯片供给AI终端。
npu_industry,ai_terminal_industry,supply_to,NPU,人工智能终端,端侧/边缘侧芯片供给AI终端。
advanced_process_foundry_industry,wafer_foundry_industry,is_a,先进制程代工,晶圆代工,
mature_process_foundry_industry,wafer_foundry_industry,is_a,成熟制程代工,晶圆代工,
cowos_packaging_industry,advanced_packaging_industry,is_a,CoWoS封装,先进封装,
hbm_packaging_industry,advanced_packaging_industry,is_a,HBM封装,先进封装,
chiplet_packaging_industry,advanced_packaging_industry,is_a,Chiplet封装,先进封装,
two_point_five_d_packaging_industry,advanced_packaging_industry,is_a,2.5D/3D封装,先进封装,
advanced_process_foundry_industry,advanced_packaging_industry,supply_to,先进制程代工,先进封装,晶圆制造完成后进入封装测试环节。
mature_process_foundry_industry,advanced_packaging_industry,supply_to,成熟制程代工,先进封装,晶圆制造完成后进入封装测试环节。
cowos_packaging_industry,ai_accelerator_chip_industry,supply_to,CoWoS封装,AI加速芯片,先进封装提升AI加速芯片的带宽、互连和系统性能。
hbm_packaging_industry,ai_accelerator_chip_industry,supply_to,HBM封装,AI加速芯片,先进封装提升AI加速芯片的带宽、互连和系统性能。
chiplet_packaging_industry,ai_accelerator_chip_industry,supply_to,Chiplet封装,AI加速芯片,先进封装提升AI加速芯片的带宽、互连和系统性能。
two_point_five_d_packaging_industry,ai_accelerator_chip_industry,supply_to,2.5D/3D封装,AI加速芯片,先进封装提升AI加速芯片的带宽、互连和系统性能。
hbm_industry,storage_chip_industry,is_a,HBM高带宽存储,存储芯片,
dram_industry,storage_chip_industry,is_a,DRAM,存储芯片,
nand_industry,storage_chip_industry,is_a,NAND闪存,存储芯片,
ssd_industry,server_storage_industry,is_a,SSD,服务器存储设备,
hbm_industry,hbm_packaging_industry,supply_to,HBM高带宽存储,HBM封装,HBM需要与AI加速芯片进行高密度先进封装。
hbm_industry,ai_server_industry,supply_to,HBM高带宽存储,AI服务器,存储供给AI服务器和数据中心系统。
dram_industry,ai_server_industry,supply_to,DRAM,AI服务器,存储供给AI服务器和数据中心系统。
nand_industry,ai_server_industry,supply_to,NAND闪存,AI服务器,存储供给AI服务器和数据中心系统。
ssd_industry,ai_server_industry,supply_to,SSD,AI服务器,存储供给AI服务器和数据中心系统。
hbm_industry,ai_accelerator_chip_industry,supply_to,HBM高带宽存储,AI加速芯片,HBM为AI加速芯片提供高带宽存储能力。
ai_server_oem_industry,ai_server_industry,is_a,AI服务器OEM,AI服务器,
ai_system_integration_industry,ai_server_industry,is_a,AI服务器系统集成,AI服务器,
ai_accelerated_system_industry,ai_system_integration_industry,is_a,AI加速服务器,AI服务器系统集成,
rack_scale_ai_system_industry,ai_system_integration_industry,is_a,机柜级AI服务器,AI服务器系统集成,
ai_networking_industry,communication_equipment_industry,is_a,AI网络设备,通信设备,
infiniband_network_industry,ai_networking_industry,is_a,InfiniBand网络设备,AI网络设备,
ethernet_ai_network_industry,ai_networking_industry,is_a,AI以太网设备,AI网络设备,
ultra_ethernet_industry,ethernet_ai_network_industry,is_a,超以太网设备,AI以太网设备,
ai_server_oem_industry,ai_system_integration_industry,supply_to,AI服务器OEM,AI服务器系统集成,服务器、芯片、存储、网络、电源和散热共同组成AI系统。
ai_networking_industry,ai_system_integration_industry,supply_to,AI网络设备,AI服务器系统集成,服务器、芯片、存储、网络、电源和散热共同组成AI系统。
liquid_cooling_industry,ai_system_integration_industry,supply_to,液冷,AI服务器系统集成,服务器、芯片、存储、网络、电源和散热共同组成AI系统。
power_supply_industry,ai_system_integration_industry,supply_to,电源,AI服务器系统集成,服务器、芯片、存储、网络、电源和散热共同组成AI系统。
hbm_industry,ai_system_integration_industry,supply_to,HBM高带宽存储,AI服务器系统集成,服务器、芯片、存储、网络、电源和散热共同组成AI系统。
ai_accelerator_chip_industry,ai_system_integration_industry,supply_to,AI加速芯片,AI服务器系统集成,服务器、芯片、存储、网络、电源和散热共同组成AI系统。
ai_system_integration_industry,computing_infrastructure_industry,supply_to,AI服务器系统集成,算力基础设施服务,系统集成交付后进入算力基础设施。
infiniband_network_industry,aidc_industry,supply_to,InfiniBand网络设备,智算中心,AI网络支撑智算中心集群互连。
ethernet_ai_network_industry,aidc_industry,supply_to,AI以太网设备,智算中心,AI网络支撑智算中心集群互连。
ultra_ethernet_industry,aidc_industry,supply_to,超以太网设备,智算中心,AI网络支撑智算中心集群互连。
optical_module_industry,aidc_industry,supply_to,光模块,智算中心,AI网络支撑智算中心集群互连。
signal_transmission_industry,aidc_industry,supply_to,信号传输,智算中心,AI网络支撑智算中心集群互连。
gpu_cloud_industry,cloud_service_industry,is_a,GPU云服务,云计算服务,
hyperscale_cloud_industry,cloud_service_industry,is_a,超大规模云服务,云计算服务,
ai_compute_cloud_industry,gpu_cloud_industry,is_a,AI算力云服务,GPU云服务,
inference_as_service_industry,cloud_service_industry,is_a,推理云服务,云计算服务,
model_serving_industry,inference_as_service_industry,is_a,模型托管服务,推理云服务,
aidc_industry,cloud_large_model_industry,supply_to,智算中心,云侧大模型,云上AI算力支撑大模型训练与推理。
ai_system_integration_industry,cloud_large_model_industry,supply_to,AI服务器系统集成,云侧大模型,云上AI算力支撑大模型训练与推理。
gpu_cloud_industry,cloud_large_model_industry,supply_to,GPU云服务,云侧大模型,云上AI算力支撑大模型训练与推理。
ai_compute_cloud_industry,cloud_large_model_industry,supply_to,AI算力云服务,云侧大模型,云上AI算力支撑大模型训练与推理。
cloud_large_model_industry,inference_as_service_industry,supply_to,云侧大模型,推理云服务,大模型能力可通过推理服务向应用层输出。
inference_as_service_industry,ai_application_industry,supply_to,推理云服务,人工智能应用,推理服务支撑各类AI应用落地。
data_center_industry,ai_infrastructure_industry,is_a,数据中心,人工智能基础设施,
data_center_operator_industry,data_center_industry,is_a,数据中心托管服务,数据中心,
data_center_energy_industry,data_center_industry,is_a,数据中心供配电设备,数据中心,
nuclear_power_for_data_center_industry,data_center_energy_industry,is_a,核电,数据中心供配电设备,
natural_gas_power_for_data_center_industry,data_center_energy_industry,is_a,天然气发电,数据中心供配电设备,
renewable_power_for_data_center_industry,data_center_energy_industry,is_a,可再生能源发电,数据中心供配电设备,
hydropower_data_center_industry,renewable_power_for_data_center_industry,is_a,水电,可再生能源发电,
wind_solar_data_center_industry,renewable_power_for_data_center_industry,is_a,风电与光伏,可再生能源发电,
data_center_site_selection_industry,data_center_industry,is_a,数据中心建设服务,数据中心,
data_center_cooling_industry,data_center_industry,is_a,数据中心温控设备,数据中心,
liquid_cooling_industry,data_center_cooling_industry,is_a,液冷,数据中心温控设备,
immersion_cooling_industry,liquid_cooling_industry,is_a,浸没式液冷设备,液冷,
cold_plate_liquid_cooling_industry,liquid_cooling_industry,is_a,冷板式液冷设备,液冷,
data_center_energy_industry,aidc_industry,supply_to,数据中心供配电设备,智算中心,能源、冷却、运营和系统集成共同支撑智算中心。
data_center_cooling_industry,aidc_industry,supply_to,数据中心温控设备,智算中心,能源、冷却、运营和系统集成共同支撑智算中心。
data_center_operator_industry,aidc_industry,supply_to,数据中心托管服务,智算中心,能源、冷却、运营和系统集成共同支撑智算中心。
data_center_site_selection_industry,aidc_industry,supply_to,数据中心建设服务,智算中心,能源、冷却、运营和系统集成共同支撑智算中心。
ai_system_integration_industry,aidc_industry,supply_to,AI服务器系统集成,智算中心,能源、冷却、运营和系统集成共同支撑智算中心。
aidc_industry,data_center_industry,is_a,智算中心,数据中心,智算中心属于面向AI算力的数据中心形态。
data_center_industry,cloud_service_industry,supply_to,数据中心,云计算服务,数据中心承载云计算与AI算力服务。
ic_manufacturing_equipment_industry,semiconductor_equipment_industry,is_a,IC制造设备,半导体设备,
packaging_testing_equipment_industry,semiconductor_equipment_industry,is_a,封测设备,半导体设备,
semiconductor_cleanroom_industry,semiconductor_equipment_industry,is_a,半导体洁净室,半导体设备,
single_crystal_furnace_industry,ic_manufacturing_equipment_industry,is_a,单晶炉,IC制造设备,来自Excel层级：IC制造 / 单晶炉。
